Nama Pelanggan,Produk,Ulasan,Rating,Unnamed: 0
Silvy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Warnanya cantik 💚. Bahannya adem. Bahannya lembut,bahannya ga tebel...",5,353.0
nani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨. Ukuran sesuai. Jahitannya rapi.,5,354.0
dias,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Bahannya adem. Bahannya lembut. Nyaman dipakai ✨.,5,355.0
Sari,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus seperti di gambar tapi ukurannya aga kebesaran.. terima kasih,5,356.0
e***t,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Jahitannya rapi. Kualitas bahan bagus 👍. Model Celananya cantik 😍. Nyaman dipakai ✨.,5,357.0
Farida,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍.,5,358.0
K***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus pengiriman cepat Bahannya adem Enak dipakai ✨ Modelnya kekinian 😍 Bahan menyerap keringat Jahitannya rapi Warnanya cantik 💚,5,359.0
anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍,5,360.0
Santy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Bahannya adem.,5,361.0
Sheila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Ukuran sesuai. Warnanya cantik 💚. Jahitannya rapi. Nyaman dipakai ✨. Tidak menerawang.,5,362.0
N***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","biasa aja, malahan ada barang saya di batalin, pengiriman sangat amat lemot kalo ngga di kasih tau pakai sameday mungkin ga bakal di kirim""",3,363.0
T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kurangajar penjualnya, chatroom dibalas dibilangnya gak respon👎👎👎",1,364.0
Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya engga sesuai foto tapi bahan nya adem,5,365.0
oktavian,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","iyaa okehlahh Karna engga Tau cuma gede bgt Salah beli tp product nya bagus,bahan kasar halus..mulusKualitas bahan bagus 👍. Warnanya cantik 💚. Bahannya adem. Bahan meny...",5,366.0
h***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍 Nyaman dipakai ✨ Ukuran sesuai Jahitannya rapi,5,367.0
Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya cantik 💚,5,368.0
Caroline,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pengiriman nya super lamaaaaa,2,369.0
F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨ Ukuran sesuai,5,370.0
F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Model Celananya cantik 😍,5,371.0
Inggrid,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus. Jahitannya rapi. Ukuran sesuai. Warna celananya bagus. Bahannya lembut dan adem. Paling penting, nyaman dipake. 
Andai warna lainnya masih tersedia...",5,372.0
C***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas dan harga sesuai 👍🏽,5,373.0
satria,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus, 
terimakasih",5,374.0
puri,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","celana cukup.. 
nyaman di pakai. 
bahan ny jg oke.. 
seller ny ramah.... 
Terima kasih",5,375.0
i***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai sama gambarnya, respon seller juga cepat...siipp...",5,376.0
Rey,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang sesuai pesanan
jahitannya rapi",5,377.0
Bambang,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",order tgl 21 sampai tgl 24 nov....moga kedepannya lebih baik ya..,4,378.0
Sukarto,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","𝓑𝓪𝓻𝓪𝓷𝓰 𝓼𝓮𝓼𝓾𝓪𝓲 𝓭𝓮𝓷𝓰𝓪𝓷 𝓭𝓮𝓼𝓴𝓻𝓲𝓹𝓼𝓲 𝓭𝓪𝓷 𝓭𝓲 𝓫𝓾𝓷𝓰𝓴𝓾𝓼 𝓻𝓪𝓹𝓲, 𝓻𝓮𝓼𝓹𝓸𝓷 𝓼𝓪𝓷𝓰𝓪𝓽 𝓬𝓮𝓹𝓪𝓽, 𝓹𝓮𝓻𝓽𝓪𝓱𝓪𝓷𝓴𝓪𝓷 𝓽𝓮𝓻𝓾𝓼 𝓹�...",5,379.0
Y***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Beli celana pendek dikirim kaos pendek..huuft, untung kaosnya cakep walaupun lbh murah dikit.",4,380.0
M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Jahitan rapi, celana longgar jd nyaman untuk bergerak.",5,381.0
H***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang yang dikirim sesuai dengan pesanan.,5,382.0
BeningLara,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahan ga bagus,",3,383.0
J***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celana nya. thank u,5,385.0
V***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Cocok ukurannya. Bahan licin. Jahitan rapi,5,386.0
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Sesuai gambar,5,387.0
A***s,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kainnya tipis dan kasar, warna kurang cerah",4,388.0
o***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan untuk harga segini....anak suka,5,389.0
Siska,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai dg harga , bahan agak tipis, model lumayan.thx",3,390.0
s***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cepat dikirim, barang sesuai harga la..",5,391.0
Anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Good...,5,392.0
NOVRIETA,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celananya. siip👍👍👍,5,393.0
d***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan aja,5,394.0
Desi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang ok bahan standard,4,395.0
J***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus dan pengiriman yg sangat cepat,5,396.0
Erizal,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bahan biasa saja,1,397.0
A***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahannya bagus , cm prosesnya agak lama",5,398.0
L***m,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Lucu banget, suka.",5,399.0
M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus banget, ukuran pas, warnanya cantik,bahan nya bagus, mantap.",5,400.0
Tami,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Menerawang dan kasar,3,401.0
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",okeeeeee gooooooodddd siiiiipppppp 👍,5,402.0
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee gooooooodddd thanks 🙏🏻👍,5,403.0
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee thankyou 🙏🏻,5,404.0
H***e,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Mendingan lah,4,405.0
Tyas,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Celana nya bagus gais 💚💚💚,5,406.0
A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan licin tipis tp ga menerawang. warna2 nya cerah n bagus. sesuai dg harga nya.,5,407.0
i***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Aku order xxl tp yg sampe xl , alhamdulillah nya muat si trnyta sizenya besar .. thx",4,408.0
alvaro,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",cakepp bingitt kakak,5,409.0
G***g,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, ukuran cocok. joz lah",5,410.0
R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bjnya bgs dan pas,4,412.0
Dewi,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Ukuran sesuai. Beli size L utk LD 82 TB 152 Bb 50. Tidak ketat dan tdk kesempitan/kebesaran. Bahan bagus dan nyaman.,5,413.0
Ita,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bagus.. sesuai expectasi,5,415.0
W***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bajunya bagus banget 🥺❤️adminnya ramah, fastresp dan lgsg ngeinfoiin kl ada barang yg kosong, pengirimannya jg cepett",5,416.0
taswania,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","paket sudah diterima dengan baik, terimakasih dan sukses selalu 
hasil nya memuaskan",5,418.0
erna,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","kainnya bahannya adem, enak pakai",5,419.0
M***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","enak si bhnna adem, jaitanna rapi, tp dbdn kyk krg pas jatona",4,420.0
Edo,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus lah sesuai,5,422.0
Angie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","sayang bgt kekecilan, pdhl di picture keliatan pas dan sesuai badan",3,423.0
Tunginah,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","ukuran pas... proses cepat barang cepet sampenya, next mau order lagi😊",5,424.0
Z***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",sesuai! terimakasih.,5,425.0
P***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",oke banget :),5,426.0
Tiara,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Lumayan dengan harga segitu ya, pengiriman cepat.",5,427.0
A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",modelnya bgs. udah bl yg item. beli lagi yg olive suka bgt,5,428.0
G***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","cepet sampenya, kaosnya adem dan pas, mantapppp",5,429.0
Y***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Ukurannya kecil banget dan kualitas kain tdk bagus,3,430.0
N***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Keren bajunya. Aku suka. Lain kali bakalan beli disini lagi.,5,431.0
N***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","mantap bgt sih dah langganan disini, bahannya nyaman, jahitan rapi, bikin keliatan slim, cs nya super ramah dan membantu",5,432.0
Rosita,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","SUMPAH BAGUS PWOOOOOLLLLLLLLLL bahannya ga kaleng kaleng mana hana fashion murah murah lg😭😭😭😭😭, AKU BB 58kg TB 168cm hehehe",5,433.0
A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",keren. bahan ok,5,434.0
A***n,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",𝙏𝙚𝙧𝙞𝙢𝙖 𝙠𝙖𝙨𝙞𝙝..,5,435.0
F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Bahannya adem. Warnanya cantik 💚. Modelnya cantik 😍. Jahitannya rapi. Tidak menerawang. Ukuran sesuai. Produk sesuai dengan foto puas deh pokoknya, trimakasii yaa",5,436.0
C***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","sudah kenal dengan Hana, sudah tidak diragukan lagi. udah mending order deh.. thankyouu",5,437.0
M***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","agak tinggi sih ekspektasi aku awalnya wkwk.. tp not bad kok bahan nyaman, tp ga yg kek halus premium gitu.. untung warna item jd ga nerawang karna bahannya agak tipis.....",5,438.0
Nur,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Barang nya bagus,5,439.0
Anjani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Sedih bgt warna khaky nya jadi warna hijau tua, gak sesuai foto",4,440.0
fianty,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus tebal,5,441.0
A***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",pas bgt dibadan akuu. Maaciii,5,442.0
S***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Naisss,5,443.0
a***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus banget😍✨,5,444.0
F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Cocokkkkkkkk❤️ trimakasi,5,445.0
M***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",lumayan tipis...,4,446.0
sherly,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",barangnya bagus Dan bahanya bagus adem trimakasih banyak,5,447.0
Shanti,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","cantik banget,cocok banget dibadanku yg mini",5,448.0
Martinus,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya bagus,5,449.0
N***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bagus banget, no kecewa deh pokok nya💓",5,450.0
r***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bagus banget, pas dibadan dan jahitan rapi🥰",5,451.0
D***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahan bagus gak nerawang mesikipun warna putih .. suka 😁👍🏻,5,452.0
Marsha,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahnya lembut bagus bahanya
 spandex",5,453.0
fitriyani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","beli pertama tebal,beli kedua tipis,ketiga juga tipis,😔 padahal sesuka itu sama baju nya sampe order berkali kali.tapi tetep suka.tolong min jangan belanjaan pertama aja...",4,454.0
h***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahannya agak kaku dan tidak menyerap keringat tapi tidak menerawang dan kalau di pakai terlihat rapi, tokonya informatif sekali. thanks",5,455.0
A***e,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Pas dibadan, bentuk luwes.",5,456.0
F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Puasssss,, bahan adem, nyerep keringat,, aku pesen XL pas dibadan",5,457.0
Ambar,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagusss.. size s pas buat tb 160cm. bb 50kg. bahan lembut dan ga nerawang.. Nanti reorder. thx seller,5,458.0
h***m,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, tidak nerawang, worth it bangeettt",5,459.0
V***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",cuma kurang puas di pengemasan yg lama,4,460.0
y***t,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",minta size XL d kirim nya S.. jd gak kepakai dech 😭,1,461.0
D***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Bagus bahan kainnya, makasi seller",5,462.0
lay,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","meskiiii ini bajuu bnykkk dramaaa di pengiriman tapi puas dengan hasil bajuuu nya meski murah tapi gak murahannn ,bahan teball adem gak nerawang",5,463.0
A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus bgt buat harganya,5,464.0
I***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",tidak mengecewakan. next order lagi,5,465.0
T***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Baguss bahannya adem jahitannya rapihh sesuai sama harganya yg terjangkau tapi kualitas ga murahan👍🏼😭,4,466.0
Amanda,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",suka banget❤️❤️❤️,5,467.0
Linda,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bahan bagus tebel jahitan rapi👍👍,5,468.0
Ratu,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","maafkan bnyk bulu kucing aku... btw jahitannya rapiii... bahan ademmm... btw aku bb 54 kg  36B, ambil L pas bgt... worthed buat dibeli.. next mau order model lain",5,469.0
Aprilia,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",okeoke,4,470.0
Gloria,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahannya tebel, bagus bajget, jahitan rapih.
melebihi ekspektasi sih. 
gak nyangka datengnya sebagus ini.",5,471.0
Rini,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","pesanan ke 2 nih, cukup puas dgn bajunya. pengirimannya agak terlambat tapi gpp mungkin Krn mau lebaran. thank you ya.",4,472.0
R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Product sesuai, kualitas baik, sangat recommended 👍",5,473.0
T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",ada noda sedikit di kaosnya huhu,4,474.0
Ghassani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",cangtip bgt bajunay😍,5,475.0
S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Sudah punya 2 warna hitam dan putih. Yg hitam bagus bahan tebal dan stretch, yg putih beda bahan lebih tipis+kaku",3,476.0
r***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","buat bb 50 dan tangan besar ini pas bgt , kayaknya kalau l bakal kekecilan soalnya ini xl juga pas dan bahan kain juga ga melar :) kain jg oke tebal ga nrawang ya kalau w...",5,477.0
Lely,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Selalu puas belanja disini, lavvvv ❤️",5,478.0
P***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","pas d badanku,jahitan rapi,bakal beli lg dsini😁,murah tp bagus",5,479.0
Ester,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",produknya bagus.. sesuai gambar.. pengiriman cepat.. Bahannya adem. Bahan menyerap keringat.,5,480.0
Ima,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Produk sesuai dengan foto.,5,481.0
S***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan lembut, pas di badan",5,482.0
A***l,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Tidak menerawang,5,483.0
Audi,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",kenapa dikasi size S huhuhu padahal ku minta size M. Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Modelnya cantik 😍,4,484.0
Erisa,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto.,5,485.0
Stephanie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Ukuran sesuai.,5,486.0
R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Tidak menerawang. Ukuran sesuai. Produk sesuai dengan foto.,5,487.0
Anneke,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Bahan menyerap keringat. Tidak menerawang. Warnanya cantik 💚. Produk sesuai dengan foto. Ukuran sesuai. Jahitannya rapi.,5,488.0
R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Produk sesuai dengan foto. Ukuran sesuai.,4,489.0
anya,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Ukuran sesuai.,5,490.0
J***O,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Sesuai pesanan... recomended seller..!,5,491.0
i***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Modelnya cantik 😍 Jahitannya rapi Warnanya cantik 💚,5,492.0
T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Tidak menerawang. Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto. Jahitannya rapi.,5,493.0
Novia,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahanya ga melar, kaku, panas juga, kecil padahal udh pilih sesuai dengan ukuran yg tertera, JD ga kepake 😓",4,494.0
B***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Modelnya cantik 😍. Ukuran sesuai. Warnanya cantik 💚. Jahitannya rapi. Produk sesuai dengan foto.,5,495.0
B***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Tidak menerawang. Ukuran sesuai. Modelnya cantik 😍. Jahitannya rapi. Produk sesuai dengan foto. Warnanya cantik 💚. Bahan menyerap keringat.,5,496.0
E***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Jahitannya rapi. Produk sesuai dengan foto.,5,497.0
D***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Lumayan.. semoga muat 🤭🤭,5,498.0
Septiano,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍 Produk sesuai dengan foto Bahannya adem,5,499.0
I***n,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","untuk bb 48kg dengan tinggi 167cm, pake ukuran m pas

Bahannya adem. Bahan menyerap keringat. Tidak menerawang. Ukuran sesuai. Warnanya cantik 💚. Modelnya cantik 😍. Pro...",5,501.0
Nina,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",suka modelnya. XXL utk BB 57 pas buat yg ga suka pake kaos ketat,5,502.0
Y***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem,5,503.0
S***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Barang sesuai deskripsi,5,504.0
Maria,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍.,5,505.0
S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto. Warnanya cantik 💚. Jahitannya rapi.,5,506.0
Buatan,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Produk sesuai dengan foto.,5,507.0
S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Tidak menerawang Modelnya cantik 😍 Jahitannya rapi Bahan menyerap keringat Ukuran sesuai Produk sesuai dengan foto,5,508.0
T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Baru pertama kali order dan suka bangett.. Bahan adem dan nyaman dipakai. modelnya juga cantik banget😍 Bakal jadi langganan hehe thx!,5,509.0
Waskito,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Kualitas tank top bagus, kain lembut, toko ramah & fast respon. Recomanded beli lagi jika pingin varian warna. Istri saya jadi semangat senam BL. Terima kasih, kak 😊...",5,510.0
