,Nama Pelanggan,Produk,Ulasan,Rating
399,L***m,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Lucu banget, suka.",5
400,M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus banget, ukuran pas, warnanya cantik,bahan nya bagus, mantap.",5
401,Tami,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Menerawang dan kasar,3
402,E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",okeeeeee gooooooodddd siiiiipppppp 👍,5
403,E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee gooooooodddd thanks 🙏🏻👍,5
404,E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee thankyou 🙏🏻,5
405,H***e,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Mendingan lah,4
406,Tyas,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Celana nya bagus gais 💚💚💚,5
407,A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan licin tipis tp ga menerawang. warna2 nya cerah n bagus. sesuai dg harga nya.,5
408,i***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Aku order xxl tp yg sampe xl , alhamdulillah nya muat si trnyta sizenya besar .. thx",4
409,alvaro,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",cakepp bingitt kakak,5
410,G***g,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, ukuran cocok. joz lah",5
412,R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bjnya bgs dan pas,4
413,Dewi,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Ukuran sesuai. Beli size L utk LD 82 TB 152 Bb 50. Tidak ketat dan tdk kesempitan/kebesaran. Bahan bagus dan nyaman.,5
415,Ita,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bagus.. sesuai expectasi,5
416,W***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bajunya bagus banget 🥺❤️adminnya ramah, fastresp dan lgsg ngeinfoiin kl ada barang yg kosong, pengirimannya jg cepett",5
418,taswania,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","paket sudah diterima dengan baik, terimakasih dan sukses selalu 
hasil nya memuaskan",5
419,erna,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","kainnya bahannya adem, enak pakai",5
420,M***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","enak si bhnna adem, jaitanna rapi, tp dbdn kyk krg pas jatona",4
422,Edo,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus lah sesuai,5
423,Angie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","sayang bgt kekecilan, pdhl di picture keliatan pas dan sesuai badan",3
424,Tunginah,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","ukuran pas... proses cepat barang cepet sampenya, next mau order lagi😊",5
425,Z***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",sesuai! terimakasih.,5
426,P***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",oke banget :),5
427,Tiara,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Lumayan dengan harga segitu ya, pengiriman cepat.",5
428,A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",modelnya bgs. udah bl yg item. beli lagi yg olive suka bgt,5
429,G***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","cepet sampenya, kaosnya adem dan pas, mantapppp",5
430,Y***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Ukurannya kecil banget dan kualitas kain tdk bagus,3
431,N***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Keren bajunya. Aku suka. Lain kali bakalan beli disini lagi.,5
432,N***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","mantap bgt sih dah langganan disini, bahannya nyaman, jahitan rapi, bikin keliatan slim, cs nya super ramah dan membantu",5
433,Rosita,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","SUMPAH BAGUS PWOOOOOLLLLLLLLLL bahannya ga kaleng kaleng mana hana fashion murah murah lg😭😭😭😭😭, AKU BB 58kg TB 168cm hehehe",5
434,A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",keren. bahan ok,5
435,A***n,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",𝙏𝙚𝙧𝙞𝙢𝙖 𝙠𝙖𝙨𝙞𝙝..,5
436,F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Bahannya adem. Warnanya cantik 💚. Modelnya cantik 😍. Jahitannya rapi. Tidak menerawang. Ukuran sesuai. Produk sesuai dengan foto puas deh pokoknya, trimakasii yaa",5
437,C***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","sudah kenal dengan Hana, sudah tidak diragukan lagi. udah mending order deh.. thankyouu",5
438,M***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","agak tinggi sih ekspektasi aku awalnya wkwk.. tp not bad kok bahan nyaman, tp ga yg kek halus premium gitu.. untung warna item jd ga nerawang karna bahannya agak tipis.....",5
439,Nur,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Barang nya bagus,5
440,Anjani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Sedih bgt warna khaky nya jadi warna hijau tua, gak sesuai foto",4
441,fianty,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus tebal,5
442,A***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",pas bgt dibadan akuu. Maaciii,5
443,S***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Naisss,5
444,a***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus banget😍✨,5
445,F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Cocokkkkkkkk❤️ trimakasi,5
446,M***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",lumayan tipis...,4
447,sherly,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",barangnya bagus Dan bahanya bagus adem trimakasih banyak,5
448,Shanti,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","cantik banget,cocok banget dibadanku yg mini",5
449,Martinus,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya bagus,5
450,N***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bagus banget, no kecewa deh pokok nya💓",5
451,r***h,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bagus banget, pas dibadan dan jahitan rapi🥰",5
452,D***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahan bagus gak nerawang mesikipun warna putih .. suka 😁👍🏻,5
453,Marsha,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahnya lembut bagus bahanya
 spandex",5
454,fitriyani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","beli pertama tebal,beli kedua tipis,ketiga juga tipis,😔 padahal sesuka itu sama baju nya sampe order berkali kali.tapi tetep suka.tolong min jangan belanjaan pertama aja...",4
455,h***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahannya agak kaku dan tidak menyerap keringat tapi tidak menerawang dan kalau di pakai terlihat rapi, tokonya informatif sekali. thanks",5
456,A***e,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Pas dibadan, bentuk luwes.",5
457,F***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Puasssss,, bahan adem, nyerep keringat,, aku pesen XL pas dibadan",5
458,Ambar,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagusss.. size s pas buat tb 160cm. bb 50kg. bahan lembut dan ga nerawang.. Nanti reorder. thx seller,5
459,h***m,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, tidak nerawang, worth it bangeettt",5
460,V***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",cuma kurang puas di pengemasan yg lama,4
461,y***t,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",minta size XL d kirim nya S.. jd gak kepakai dech 😭,1
462,D***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Bagus bahan kainnya, makasi seller",5
463,lay,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","meskiiii ini bajuu bnykkk dramaaa di pengiriman tapi puas dengan hasil bajuuu nya meski murah tapi gak murahannn ,bahan teball adem gak nerawang",5
464,A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus bgt buat harganya,5
465,I***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",tidak mengecewakan. next order lagi,5
466,T***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Baguss bahannya adem jahitannya rapihh sesuai sama harganya yg terjangkau tapi kualitas ga murahan👍🏼😭,4
467,Amanda,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",suka banget❤️❤️❤️,5
468,Linda,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bahan bagus tebel jahitan rapi👍👍,5
469,Ratu,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","maafkan bnyk bulu kucing aku... btw jahitannya rapiii... bahan ademmm... btw aku bb 54 kg  36B, ambil L pas bgt... worthed buat dibeli.. next mau order model lain",5
470,Aprilia,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",okeoke,4
471,Gloria,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahannya tebel, bagus bajget, jahitan rapih.
melebihi ekspektasi sih. 
gak nyangka datengnya sebagus ini.",5
472,Rini,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","pesanan ke 2 nih, cukup puas dgn bajunya. pengirimannya agak terlambat tapi gpp mungkin Krn mau lebaran. thank you ya.",4
473,R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Product sesuai, kualitas baik, sangat recommended 👍",5
474,T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",ada noda sedikit di kaosnya huhu,4
475,Ghassani,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",cangtip bgt bajunay😍,5
476,S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Sudah punya 2 warna hitam dan putih. Yg hitam bagus bahan tebal dan stretch, yg putih beda bahan lebih tipis+kaku",3
477,r***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","buat bb 50 dan tangan besar ini pas bgt , kayaknya kalau l bakal kekecilan soalnya ini xl juga pas dan bahan kain juga ga melar :) kain jg oke tebal ga nrawang ya kalau w...",5
478,Lely,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","Selalu puas belanja disini, lavvvv ❤️",5
479,P***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","pas d badanku,jahitan rapi,bakal beli lg dsini😁,murah tp bagus",5
480,Ester,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",produknya bagus.. sesuai gambar.. pengiriman cepat.. Bahannya adem. Bahan menyerap keringat.,5
481,Ima,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Produk sesuai dengan foto.,5
482,S***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan lembut, pas di badan",5
483,A***l,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Tidak menerawang,5
484,Audi,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",kenapa dikasi size S huhuhu padahal ku minta size M. Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Modelnya cantik 😍,4
485,Erisa,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto.,5
486,Stephanie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Ukuran sesuai.,5
487,R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Tidak menerawang. Ukuran sesuai. Produk sesuai dengan foto.,5
488,Anneke,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Bahan menyerap keringat. Tidak menerawang. Warnanya cantik 💚. Produk sesuai dengan foto. Ukuran sesuai. Jahitannya rapi.,5
489,R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Modelnya cantik 😍. Produk sesuai dengan foto. Ukuran sesuai.,4
490,anya,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Ukuran sesuai.,5
491,J***O,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Sesuai pesanan... recomended seller..!,5
492,i***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Modelnya cantik 😍 Jahitannya rapi Warnanya cantik 💚,5
493,T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Tidak menerawang. Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto. Jahitannya rapi.,5
494,Novia,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahanya ga melar, kaku, panas juga, kecil padahal udh pilih sesuai dengan ukuran yg tertera, JD ga kepake 😓",4
495,B***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Modelnya cantik 😍. Ukuran sesuai. Warnanya cantik 💚. Jahitannya rapi. Produk sesuai dengan foto.,5
496,B***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Tidak menerawang. Ukuran sesuai. Modelnya cantik 😍. Jahitannya rapi. Produk sesuai dengan foto. Warnanya cantik 💚. Bahan menyerap keringat.,5
497,E***y,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Jahitannya rapi. Produk sesuai dengan foto.,5
498,D***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Lumayan.. semoga muat 🤭🤭,5
499,Septiano,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍 Produk sesuai dengan foto Bahannya adem,5
501,I***n,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","untuk bb 48kg dengan tinggi 167cm, pake ukuran m pas

Bahannya adem. Bahan menyerap keringat. Tidak menerawang. Ukuran sesuai. Warnanya cantik 💚. Modelnya cantik 😍. Pro...",5
502,Nina,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",suka modelnya. XXL utk BB 57 pas buat yg ga suka pake kaos ketat,5
503,Y***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem,5
504,S***i,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Barang sesuai deskripsi,5
505,Maria,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Modelnya cantik 😍.,5
506,S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem. Tidak menerawang. Modelnya cantik 😍. Ukuran sesuai. Produk sesuai dengan foto. Warnanya cantik 💚. Jahitannya rapi.,5
507,Buatan,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Produk sesuai dengan foto.,5
508,S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bahannya adem Tidak menerawang Modelnya cantik 😍 Jahitannya rapi Bahan menyerap keringat Ukuran sesuai Produk sesuai dengan foto,5
509,T***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Baru pertama kali order dan suka bangett.. Bahan adem dan nyaman dipakai. modelnya juga cantik banget😍 Bakal jadi langganan hehe thx!,5
510,Waskito,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Kualitas tank top bagus, kain lembut, toko ramah & fast respon. Recomanded beli lagi jika pingin varian warna. Istri saya jadi semangat senam BL. Terima kasih, kak 😊...",5
511,c***o,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","produk bagus dan worth it untuk harga segitu. pengiriman juga cepat. mungkin minusnya krn talinya, mau yg XL atau XXL masih kepanjangan, padahal bagian tanktopnya pas bgt",4
513,W***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Bahan tebal, jahitan rapi, proses cepat packing rapi. bagian tali terbuat dr bahan seperti karet rambut dgn diameter 3mm, enak dipakai, semoga tali nya gak gampang melar....",5
515,j***s,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bagus cm gk gt ngaret bngt ya.,5
516,Priscillia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Buat yang suka pressed, ukuran S ini bisa jadi daleman pengganti bra atau jadi kemben sih mnrt gue. Krn bahan tidak panas, semi kaos. Jahitan pun rapih. Kayanya gue akan...",5
517,A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Ukuran pas barang ok,5
518,H***y,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","udah sering beli hana di berbagai platform online shop, bagus bahannya, sesuai ekspektasi, keren pokoknya, pertahankan ya kualitasnya soalnya aku udah percaya",5
521,Fenny,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Kainnya bagus ya
Gak murahan",5
522,T***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ta,5
523,Nanang,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ukuran pas sesuai deskripsi..nyaman waktu di pakai..dan paling penting harga nya pas di kantong,5
527,Q***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bahan tanktopnya bagus, adem. recomended karna aku beli paket bubbling sama outernya. harga terjangkau",5
529,A***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Ok barangnya sesuai pesanan,5
530,alfie,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","barang sesuai cmn untuk ukuran L, kecil bgt, its ok",4
531,V***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bagus siiihh, gak ngepress bgt di badan. mungkin harusnya pilih L kali ya. minus tali kepanjangan sama bagian ketiak kanan udah agak belel gitu kaya pernah dipake, jdnya...",4
532,C***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahan bagus dan ga menurutku ga nerawang asal dalemannya jangan yang terang2 trus talinya warna putih juga jadi bagus,5
533,i***h,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Ngepas banget di badan ku dengan BB 53,5
maybe next time aku pesan yg size L kali ya.. ku kira badan ku kecil aja 🤣 ternyata gendutan.. tp syukurlah kainnya melar jadi o...",5
535,puti,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus bahan tebell,5
536,H***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bb 50 tb 160 ld 88 pke xl pas sih, cuman pesen warna putih kalo braless nrawang ya, tapi bahannya adem pol lebih bgus dripada yg varian cherish krna licin. overall oke.",5
537,R***w,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Deres banget mantap kaka,5
538,Dian,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",MANTAAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,5
539,Kadek,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus sih cuma sayang bgt sizenya spt size anak-anak dan tidak strech jg bahannya..,4
540,Riantina,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ini bagus dan adem,5
541,A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",trmks,4
543,H***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bahan agak panas,3
544,Maheswari,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","barang udh smpe ya kak, Sesuai dengan pesanan, real picture, mksh Kaka",5
545,Novi,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","fast respon seller,pengiriman cepat,brgnya berkualitas",5
546,S***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bagus dan pas badan juga,5
547,V***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","sy dichat untuk naikin rating, ngeganggu",4
548,Desty,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahannya adem. Tidak menerawang. Jahitannya rapi. Enak dipakai ✨.,5
549,Agatha,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",kecil bet pdhl xl,5
550,M***M,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",request dari penjual,4
551,Dhika,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahannya adem. Enak dipakai ✨.,5
552,M***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","pelayanan bgs, barang cpt sampai dan bahan kerenn, sukses selalu",5
553,Shana,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",recommended pokoknya..,5
554,A***s,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",mintiib,5
555,kekey,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ambil size S ternyata kekecilan pdhl badan gw itu kecil dan kurus.. kemarin mau ambil size yg M tapi takut kegedean.. bahan nya gak melar jadi pas di pake sakit di bagian...,5
556,T***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",produk sesuai,4
557,Shintia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","selalu puas belanja di toko ini bahan nya bagus
mau request aja ni untuk yang LD nya 120 mending ukuran XL aja pas jangan XXL pasti ke gedean",5
558,sandy,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bahanya elastis, ringan, nyerap keringat, ga panas dan barang sesuai",5
561,L***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","belum coba dan lagi dicuci, semoga cocok dan awet ya 😊 kalo bagus pasti langganan kok hehehe",4
562,C***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bagus, bahannya enak di pake nggak gatel. cuma talinya kepanjangan tapi masih bisa di jahit.
 pengiriman cepat, mantap 👍👍",5
563,N***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",lama sik prosesnya.. tapi ya udalah yaa.. cz pas nyampe lega aja barangnya bagus,5
564,Monica,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","lebih kayak bralette drpd crop tank, tp okelah pas banget ukurannya. buat yg lain mending size naikin 1",5
565,S***o,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",barang ok,4
566,I***m,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",terimakasih,4
567,P***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","ukurannya pas, bahannya enak. nyesel cuma beli satu 🤣",5
569,Yeowoo,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","nyaman, kalo bisa adain ukuran xs dong.. k",5
570,Ananda,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",walaupun barang habis dan ga jadi dikirim seller tetap responsif dan tanggap bencana,4
571,Shintia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",suka aku BB 85 apa 90 gitu muat bahan nya bagus tebel 🥰😘😘😘😘😘,5
572,Yusa,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Pengiriman lama, order tanggal 5 dikirim tanggal 11🤦🏻",4
573,Cut,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Cakep jahitan rapi,5
574,Rizky,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","puas sama barangnya ,tingkatkan terus ya.",5
575,Veronika,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",barang realpict dan bahannya vagus cuma utk diproses sangat lama sampe berhari2,5
